name,dept,role,email,currency
Jim Halpert, Sales, Salesman, jim@dundlermifflin.com, USD
Dwight Schrute, Sales, Manager, schurute@dundlermifflin.com, EUR
Gabe Lewis, Directory, CEO, glewis@dundlermifflin.com, BRL
Pam Beasly, General, Receptionist, pam@dundlermifflin.com, BRL
Metusalem, Security, Guard, metusalem@dundlermifflin.com, BRL
Jeffrey Santos, Sales, Salesman, jeffrey@dundlermifflin.com, BRL
Paulo Santana, Sales, Salesman, paulos@dundlermifflin.com, USD
Maria Lenz, Sales, Salesman, marialenz@dundlermifflin.com, EUR
Elisabete Pereira, Sales, Manager, elisper@dundlermifflin.com, USD
Valentina Santoro, Sales, Salesman, valentinas@dundlermifflin.com, EUR
Manoel dos Santos, Sales, Salesman, manoels@dundlermifflin.com, BRL


